"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","BS-SM-01 Security matrix","0"
"0","","0","","2","0","BS-E2E-01 Add to Cart","0"
