"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Unsuccessful authorization as User = locked_out_user","38097","Blocked user authorization repetition 1 of 1","","2025-10-15","passed","2025-10-15","","Authorization_AT","Authorization_AT","unsuccessfulAuthorization"
"Successful authorization as User = standard_user","1549","Successful authorization repetition 1 of 1","","2025-10-15","passed","2025-10-15","","Authorization_AT","Authorization_AT","successfulAuthorization"
"The user adds items to the shopping cart","3042","Add to Cart [1] standard_user","","2025-10-15","passed","2025-10-15","","E2E_AT","E2E_AT","e2e_user"
"The user adds items to the shopping cart","7886","Add to Cart [2] performance_glitch_user","","2025-10-15","passed","2025-10-15","","E2E_AT","E2E_AT","e2e_user"
